Id_Entidad,Nit,Entidad,Ciudad,Departamento,Direccion,Telefono,E-Mail,Pagina Web,Nombre Alcalde,Categoria municipio - vigencia 2020
211085010,891855200:9,Aguazul,AGUAZUL,DEPARTAMENTO DE CASANARE,CALLE 11 NO 11-35,098-6392247,hacienda_contabilidad@aguazul-casanare.gov.co,http://www.aguazul-casanare.gov.co,MARTHA JOHANA MORENO FONSECA,5
211320013,800096558:1,Agustín Codazzi,AGUSTIN CODAZZI,DEPARTAMENTO DE CESAR,CARRERA 16 NO 17-02,095-5766155,alcaldia@agustincodazzi-cesar.gov.co,http://agustincodazzi-cesar.gov.co,OMAR ENRIQUE BENJUMEA OSPINO,6
211641016,891180070:1,Aipe,AIPE,DEPARTAMENTO DE HUILA,CALLE 4 4-71,"098-8389089,8389029",alcaldia@aipe-huila.gov.co,http://www.aipe-huila.gov.co,OCTAVIO CONDE LASSO,6
211925019,899999450:0,Albán,ALBAN,DEPARTAMENTO DE CUNDINAMARCA,CALLEL 1 CARRERA 13,"091-8469213,8469160,8469160",gobierno@albancundinamarca.gov.co,http://www.alban-cundinamarca.gov.co,LILIANA BERNAL CONTRERAS,6
211952019,800099054:5,Albán (San José),ALBAN (SAN JOSE),DEPARTAMENTO DE NARIÑO,CALLE 4 NO 02-04 B/BELLO HORIZONTE,"092-7430136,7264498,7264536,",alcaldia@alban-narino.gov.co,http://www.alban-narino.gov.co,SAULO MORENO CERON,6
212918029,891190431:8,Albania - Caquetá,ALBANIA (CAQUETA),DEPARTAMENTO DE CAQUETA,CALLE 6 NO. 6 - 05 BARRIO CENTRO,098-4303089,contactenos@albania-caqueta.gov.co,http://www.albania-caqueta.gov.co,JOSÉ EUGENIO GAVIRIA SALGADO,6
213544035,839000360:0,Albania - Guajira,ALBANIA (GUAJIRA),DEPARTAMENTO DE GUAJIRA,CALLE 4 NO. 4 - 48,095-7491560,secretariahacienda@albania-laguajira.gov.co,http://www.alcaldiadealbania.gov.co,NECTOR ALFONSO  SAEZ GONZALEZ,5
212068020,800099455:5,Albania - Santander,ALBANIA (SANTANDER),DEPARTAMENTO DE SANTANDER,CALLE 2 NO. 3 - 81,"097-7265251,7265441",alcaldia@albania-santander.gov.co,http://www.albania-santander.gov.co,HUMBERTO URIAS SIERRA SANCHEZ,6
212076020,891901079:0,Alcalá,ALCALA,DEPARTAMENTO DE VALLE DEL CAUCA,CARRERAA 8 NO 5 - 35,092-2004171,despacho@alcala-valle.gov.co,http://www.alcala-valle.gov.co,GLORIA ESTELLA RAIGOZA LONDOÑO,6
212252022,800099052:0,Aldana,ALDANA,DEPARTAMENTO DE NARIÑO,CARRERAA 5 N 5A 32 BARRIO EL CENTRO,092-7777292,alcaldia@aldana-narino.gov.co,http://www.aldana-narino.gov.co,HERNANDO EFRAIN CUASMAYAN TUTAL,6
212105021,890983701:1,Alejandría,ALEJANDRIA,DEPARTAMENTO DE ANTIOQUIA,CALLE 20 19 36,094-5805021,hacienda@alejandria-antioquia.gov.co,http://www.alejandria-antioquia.gov.co,Sor Maria Ocampo Giraldo,6
213047030,819003219:0,Algarrobo,ALGARROBO,DEPARTAMENTO DE MAGDALENA,PLAZA PRINCIPAL 8 44,314-5074705,despacho@algarrobo-magdalena.gov.co,http://www.algarrobo-magdalena.gov.co,LICET PRIETO MONTEJO,6
212041020,891180024:0,Algeciras,ALGECIRAS,DEPARTAMENTO DE HUILA,CARRERA 5A CALLE CON CALLE 6A ESQUINA EDIFICIO MUNICIPAL,"098-8382012,8382558",alcaldia@algeciras-huila.gov.co,http://www.algeciras-huila.gov.co/,LIBARDO PINTO LISCANO,6
212219022,891502664:8,Almaguer,ALMAGUER,DEPARTAMENTO DE CAUCA,CALLE 3 NRO 4- 31,"092-8267591,8267575,8267591,3145960249",alcaldia@almaguer-cauca.gov.co,http://www.almaguer-cauca.gov.co,INTY WAYNA CHIKANQANA,6
212215022,891801281:3,Almeida,ALMEIDA,DEPARTAMENTO DE BOYACA,CALLE 4 N° 3 - 06,098-8024323,alcaldia@almeida-boyaca.gov.co,http://www.somondoco-boyaca.gov.co,ORLANDO CASTAÑEDA MONTENEGRO,6
212473024,890702017:7,Alpujarra,ALPUJARRA,DEPARTAMENTO DE TOLIMA,CARRERA 6 CON CALLE 5 ESQUINA B/CENTRO,"098-2261011,2261033",alcaldia@alpujarra-tolima.gov.co,http://www.alpujarra-tolima.gov.co,ALBEIRO TRUJILLO CASTRO,6
212641026,891180118:4,Altamira,ALTAMIRA,DEPARTAMENTO DE HUILA,CARRERA 3 6 06,"098-8302556,8302676,8302911",contactenos@altamira-huila.gov.co,http://www.altamira-huila.gov.co,EFRAIN CALDERON LONDOÑO,6
212527025,891600062:4,Alto Baudó (Pie de Pato),ALTO BAUDO  (PIE DE PATO),DEPARTAMENTO DE CHOCO,PIE DE PATO,094-6723387,contactenos@choco-altobaudo.gov.co,http://www.altobaudo-choco.gov.co,ULISES PALACIOS PALACIOS,6
213013030,800254879:9,Alto del Rosario,ALTO DEL ROSARIO,DEPARTAMENTO DE BOLIVAR,ALTOS DEL ROSARIO-AVENIDA PRINCIPAL,314-7773281,alcaldia@altosdelrosario-bolivar.gov.co,http://altosdelrosario-bolivar.gov.co,JULIO CESAR SALAS BALDOVINO,6
212673026,890700961:6,Alvarado,ALVARADO,DEPARTAMENTO DE TOLIMA,CARRERA 3 CALLE 4 EZQUINA,098-2820108,hacienda@alvarado-tolima.gov.co,http://www.alvarado-tolima.gov.co,HENRY HERRERA VIÑA,6
213005030,890981732:0,Amagá,AMAGA,DEPARTAMENTO DE ANTIOQUIA,CALLE 51 50 76 ALCALDIA MUNICIPAL,"094-8472119,8472573,472437",hacienda@amaga-antioquia.gov.co,http://www.municipiodeamaga.gov.co,LEONARDO DEJESUS MOLINA RODAS,6
213105031,890981518:0,Amalfi,AMALFI,DEPARTAMENTO DE ANTIOQUIA,CALLE 20 BOLIVAR 20 52,094-8301805,contactenos@amalfi-antioquia.gov.co,http://www.amalfi-antioquia.gov.co,FEDERICO GIL JARAMILLO,6
213073030,800100048:4,Ambalema,AMBALEMA,DEPARTAMENTO DE TOLIMA,CALLE 9 NO.2-59,098-2856662,hacienda@ambalema-tolima.gov.co,http://www.ambalema-tolima.gov.co,JUSTINIANO CHACON ORJUELA,6
213525035,890680097:1,Anapoima,ANAPOIMA,DEPARTAMENTO DE CUNDINAMARCA,CALLE 2 3 36,091-8993436,contaccontactenos@anapoima-cundinamarca.gov.co,http://www.anapoima-cundinamarca.gov.co,HUGO ALEXANDER BERMUDEZ RIVEROS,4
213652036,800099055:2,Ancuya,ANCUYA,DEPARTAMENTO DE NARIÑO,CALLEL 2 3-59 BRR LIBERTAD,092-7266547,alcaldia@ancuya-narino.gov.co,http://www.ancuya-narno.gov.co/,ESMERALDA ROCIO DIAZ DELGADO,6
213676036,891900443:4,Andalucía,ANDALUCIA,DEPARTAMENTO DE VALLE DEL CAUCA,CARRERA 4 CALLE 12 ESQUINA,"092-2235176,2235195",contactenos@andalucia-valle.gov.co,http://andalucia-valle.gov.co,ELLICEL ARCILA POSSO,6
213405034,890980342:7,Andes,ANDES,DEPARTAMENTO DE ANTIOQUIA,CALLE 49 49 A 39,"094-8414355,8414101",hacienda@andes-antioquia.gov.co,http://andes-antioquia.gov.co,CARLOS ALBERTO OSORIO CALDERON,6
213605036,890981493:5,Angelópolis,ANGELOPOLIS,DEPARTAMENTO DE ANTIOQUIA,CALLE 10 NO 5-12,094-8421793,hacienda@angelopolis-antioquia.gov.co,http://www.angelopolis-antioquia.gov.co,JAIME ALBERTO GOMEZ GOMEZ,6
213805038,890982141:2,Angostura,ANGOSTURA,DEPARTAMENTO DE ANTIOQUIA,CALLE11 NO.9-38,094-8645161,gobierno@angostura-antioquia.gov.co,http://www.angostura-antioquia.gov.co/,GREGORIO DEJESUS GUTIERREZ GONZALEZ,6
214025040,899999426:3,Anolaima,ANOLAIMA,DEPARTAMENTO DE CUNDINAMARCA,Alcaldía Municipal,"091-8454001,8454000,454001",zabaleta28@hotmail.com,http://www.anolaima-cundinamarca.gov.co/,LUIS HERNANDO MARTINEZ ZABALETA,6
214005040,890982489:1,Anorí,ANORI,DEPARTAMENTO DE ANTIOQUIA,MUNICIPIO DE ANORÍ,094-8350622,tesoreria@anori-antioquia.gov.co,http://www.anori-antioquia.gov.co,JUAN CAMILO PIEDRAHITA,6
214217042,890801139:1,Anserma de los Caballeros,ANSERMA,DEPARTAMENTO DE CALDAS,CALLE 7 ENTRE CARRERAS 4 Y 5,"096-8536430,8532052,8536958",hacienda@anserma-caldas.gov.co,http://www.anserma-caldas.gov.co,JOHN ALEJANDRO LONDOÑO MEDINA,6
214176041,800100532:8,Ansermanuevo,ANSERMANUEVO,DEPARTAMENTO DE VALLE DEL CAUCA,CARRERAA 4 CALLE NO7-09,"092-2052118,2052183",alcaldia@ansermanuevo-valle.gov.co,http://www.ansermanuevo-valle.gov.co,LINA MARIA BARCO RODRIGUEZ,6
214405044,890983824:9,Anzá,ANZA,DEPARTAMENTO DE ANTIOQUIA,CALLE 10 10 08 (!) CASA CONSISTORIAL PARQUE PRINCIPAL,"094-8522002,,8522102",hacienda@anza-antioquia.gov.co,http://anza-antioquia.gov.co,ANDRES FELIPE HOLGIN MUNERRA,6
214373043,890702018:4,Anzoátegui,ANZOATEGUI,DEPARTAMENTO DE TOLIMA,CALLE 13 CARRERAA. 2  # 1- 11,098-2810088,secretariagobierno@anzoategui-tolima.gov.co,http://www.anzoategui-tolima.gov.co/,CARLOS HUGO SALINAS RUIZ,6
214505045,890980095:2,Apartadó,APARTADO,DEPARTAMENTO DE ANTIOQUIA,CARRERAA 100 NO.103A-02,"094-8291038,8281055,8282188",direccionfinanciera@apartado.gov.co,http://www.apartado.gov.co,FELIPE BENICIO CAÑIZALES PALACIOS,3
214566045,891480022:3,Apía,APIA,DEPARTAMENTO DE RISARALDA,CARREA 9 9 12,"096-3609049,3609021,3609021",alcaldia@apia-risaralda.gov.co,http://www.apia-risaralda.gov.co,LUIS HERNANDO MURILLO BLANDON,6
219925599,890680236:7,Apulo - Rafael Reyes,APULO (RAFAEL REYES),DEPARTAMENTO DE CUNDINAMARCA,ALCALDIA MUNICIPAL,"091-8397083,8397034,",alcaldia@apulo-cundinamarca.gov.co,http://www.apulo-cundinamarca.gov.co,HERNANDEZ VANEGAS MARIBEL ROCIO,6
214715047,800077545:5,Aquitania,AQUITANIA,DEPARTAMENTO DE BOYACA,CALLE A. NO. 6-43/45,098-7794118,alcaldia@aquitania-boyaca.gov.co,http://www.aquitania-boyaca.gov.co/,HECTOR ORLANDO BARRERA CARDENAS,6
215347053,891780041:0,Aracataca,ARACATACA,DEPARTAMENTO DE MAGDALENA,Alcaldia municipal Calle 9 No. 4a-32,095-954270727,pedrojsanchezr@hotmail.com,http://www.aracataca.gov.co,LUIS EMILIO CORREA GUERRERO,6
215017050,890801142:4,Aranzazu,ARANZAZU,DEPARTAMENTO DE CALDAS,CARRERA 6 NRO 6-23 PLAZA PRINCIPAL,"096-8510366,8510214,8510390",alcaldia@aranzazu-caldas.gov.co,http://www.aranzazu-caldas.gov.co/,JORGE WILLIAM RUIZ OSPINA,6
215168051,890205334:5,Aratoca,ARATOCA,DEPARTAMENTO DE SANTANDER,CALLE 4   4-38,"097-7266687,2666700",hacienda@aratoca-santander.gov.co,http://www.aratoca-santander.gov.co,MONICA NATALIA AVELLANEDA GALVIS,6
210181001,800102504:0,Arauca,ARAUCA,DEPARTAMENTO DE ARAUCA,CARRERAA 24 ENTRE CALLE 18 Y 19,097-8853156,alcaldia@arauca-arauca.gov.co,http://www.arauca-arauca.gov.co,EDGAR FERNANDO TOVAR PEDRAZA,4
216581065,892099494:7,Arauquita,ARAUQUITA,DEPARTAMENTO DE ARAUCA,CARRERA 4 NO. 3-13 BARRIO EL CENTRO,"097-8836102,8836176,8836342",despacho@arauquita-arauca.gov.co,http://www.arauquita-arauca.gov.co,ETELIVAR TORRES VARGAS,6
215325053,800093386:8,Arbeláez,ARBELAEZ,DEPARTAMENTO DE CUNDINAMARCA,CALLE 4 NO. 6-15,091-8686030,contactenos@arbelaez-cundinamarca.gov.co,http://www.arbelaez-cundinamarca.gov.co/,GISEL KARINA GARZON AVELLANEDA,6
215152051,800099058:4,Arboleda - Berruecos,ARBOLEDA (BERRUECOS),DEPARTAMENTO DE NARIÑO,BERRUECOS BRR FATIMA CARRERA 3 NO 5 -56,"092-726837,7292157,7265837",nhoraponce@gmail.com,http://www.arboleda-narino.gov.co,ALVARO EVELIO MARTINEZ,6
215154051,890501436:7,Arboledas,ARBOLEDAS,DEPARTAMENTO DE NORTE DE SANTANDER,CARRERA 6 2 29 SECTOR HOSPITAL,097-5669012,alcaldia@arboledas-nortedesantander.gov.co,http://www.arboledasnortedesantander.gov.co,CARLOS DANILO ESTEBAN GALVIS,6
215105051,890985623:4,Arboletes,ARBOLETES,DEPARTAMENTO DE ANTIOQUIA,CALLE 31 29-08,"094-8200123,8200088,8234088",secretariadehacienda@arboletes-antioquia.gov.co,http://arboletes-antioquia.gov.co,DIANA STELLA GARRIDO HENAO,6
215115051,800063791:1,Arcabuco,ARCABUCO,DEPARTAMENTO DE BOYACA,CARRERA 6 N 4 09,098-7360012,hacienda@arcabucoboyaca.gov.co,http://www.arcabuco_boyaca.gov.co,YAMITH RODRIGO RODRIGUEZ LOPEZ,6
214213042,806001937:4,Arenal,ARENAL,DEPARTAMENTO DE BOLIVAR,CALLE 13 5-74,"095-6652242,5652245,6652245",contactenos@arenal-bolivar.gov.co,http://www.arenal-bolivar.gov.co,Eugenio Lobo Quiñonez,6
215019050,891500725:1,Argelia -  Cauca,ARGELIA (CAUCA),DEPARTAMENTO DE CAUCA,CALLE PRINCIPAL,"092-8204394,8399051",alcaldia@argelia-cauca.gov.co,http://www.argelia-cauca.gov.co/,JHONNATAN PATIÑO CERON,6
215505055,890981786:8,Argelia - Antioquia,ARGELIA (ANTIOQUIA),DEPARTAMENTO DE ANTIOQUIA,CARRERA 30 30 20,"094-4646611,8650290,8486377,8650077",hacienda@argelia-antioquia.gov.co,http://www.argelia-antioquia.gov.co,EDWIN QUINERO LOPEZ,6
215476054,891901019:9,Argelia - Valle del Cauca,ARGELIA (VALLE),DEPARTAMENTO DE VALLE DEL CAUCA,CARRERA 6 2 44,"092-2068141,2068149,2068354",tesoreria@argelia-valle.gov.co,http://www.argelia-valle.gov.co/,GILDARDO RESTREPO LOPEZ,6
215847058,891702186:7,Ariguaní,ARIGUANI  (EL DIFICIL),DEPARTAMENTO DE MAGDALENA,PLAZA PRINCIPAL CALLEL 4 NO 5-102,"095-4258081,4258097",contador@ariguani-magdalena.gov.co,http://www.ariguani-magdalena.gov.co/,DAVID FERNANDO FARELO DAZA,6
215213052,890480254:1,Arjona,ARJONA,DEPARTAMENTO DE BOLIVAR,PLAZA PRINCIPAL ARJONA BOLIVAR,"098-6294097,6294089,",alcaldia@arjona-bolivar.gov.co,http://www.arjona-bolivar.gov.co,ESTHER MARIA JALILIE GARCIA,6
210163001,890000464:3,Armenia,ARMENIA,DEPARTAMENTO DE QUINDIO,CALLE 16 CARRERA 17 EDIFICIO CAM,"096-7417100,7412430,7410055,7410806,7441918",alcalde@armenia.gov.co,http://www.armenia.go.co,JOSE MANUEL RIOS MORALES,1
215905059,890983763:8,Armenia - Antioquia,ARMENIA (ANTIOQUIA),DEPARTAMENTO DE ANTIOQUIA,CALLE 10 9 22,094-8559015,alcaldia@armenia-antioquia.gov.co,http://www.armenia-antioquia.gov.co/,GUILLERMO LEON MOLINA MESA,6
215573055,890700982:0,Armero - Guayabal,ARMERO (GUAYABAL),DEPARTAMENTO DE TOLIMA,CARRERA 6 CALLE 5 ESQUINA PARQUE PRINCIPAL,"098-2530201,2530112,2530965",alcaldia@armeroguayabal-tolima.gov.co,http://www.armeroguayabal-tolima.gov.co/,MEDARDO ORTEGA FONSECA,6
216213062,806004900:6,Arroyohondo,ARROYOHONDO,DEPARTAMENTO DE BOLIVAR,CALLE 6 # 6-32 PALACIO MUNICIPAL,"095-3114071439,3114182036",kevinmanuel444@gmail.com,http://www.arroyohondo-bolivar.gov.co,MARIA DEL ROSARIO HERNANDEZ LUNA,6
213220032,892301541:1,Astrea,ASTREA,DEPARTAMENTO DE CESAR,CARRERA 2 No. 7-31,095-5260230,alcaldia@astrea-cesar.gov,http://www.astrea-cesar.gov.co/,JUAN MANUEL ORTEGA RAPALINO,6
216773067,800100049:1,Ataco,ATACO,DEPARTAMENTO DE TOLIMA,CARRERA 4 NO. 7-41 BARRIO CENTRO,098-2240042,alcaldia@ataco-tolima.gov.co,http://www.ataco-tolima.gov.co,MILLER ALDANA CASTRO,6
215027050,818000395:1,Atrato,ATRATO,DEPARTAMENTO DE CHOCO,Alcaldia Municipal de Atrato,310-6860254,ye.pacha@hotmail.com,http://www.elatrato-choco.gov.co,JUAN GENECY BEJARANO MARTINEZ,6
216823068,800096737:3,Ayapel,AYAPEL,DEPARTAMENTO DE CORDOBA,Calle 9 No. 3c-13 Segundo piso Barrio Centro,094-7705021,alcaldia@ayapel-cordoba.gov.co,http://www.ayapel-cordoba.gov.co,ISIDRO JOSE VERGARA FARAK,6
217327073,891680055:4,Bagadó,BAGADO,DEPARTAMENTO DE CHOCO,Palacio municipal,"094-6712175,6712822",elimore2007@hotmail.com,http://bagado-choco.gov.co,WALTER STIVET SERNA PALOMEQUE,6
217527075,891680395:3,Bahía Solano - Ciudad Mutis,BAHIA SOLANO (CIUDAD MUTIS),DEPARTAMENTO DE CHOCO,Edificio de la Alcaldia Municipal,094-6827094,alcaldiamunicipal@hotmail.com,http:///wwwbahiasolano-choco.gov.co,HARLEY LILIANA ORTIZ SALAZAR,6
217727077,800095589:5,Bajo Baudó - Pizarro,BAJO BAUDO (PIZARRO),DEPARTAMENTO DE CHOCO,FRENTE ALPARQUE PRINCIPAL DIAGONAL BANCO AGRARIO,"094-6713561,6806044,6806049",alcaldiabajobaudo@yahoo.es,http://www.bajobaudo-choco.gov.co,HERMENEGILDO ADALBERTO GONZALEZ IBARGUEN,6
217519075,891500869:1,Balboa - Cauca,BALBOA (CAUCA),DEPARTAMENTO DE CAUCA,CARRERA 3 N° 5-08 BARRIO BELLO HORIZONTE,092-8265212,stesoreria@balboa-cauca.gov.co,http://www.balboa-cauca.gov.co/,JOHNNY ALEXANDER DAVILA IMBACHI,6
217566075,890801143:1,Balboa - Risaralda,BALBOA (RISARALDA),DEPARTAMENTO DE RISARALDA,Calle 8  6 - 44,"096-3688115,3688142,3146208880",hacienda@balboa-risaralda.gov.co,http://balboa-risaralda.gov.co,HUBERTO VASQUEZ VASQUEZ,6
217808078,890112371:8,Baranoa,BARANOA,DEPARTAMENTO DE ATLANTICO,CARRERAA 19 N° 16 A 16,095-8787222,contactenos@baranoa-atlantico.gov.co,http://baranoa-atlantico.gov.co,ROBERTO CARLOS  CELEDON VENEGAS,6
217841078,891180183:3,Baraya,BARAYA,DEPARTAMENTO DE HUILA,CARRERA 5 NO. 2C-42 BARRIO CENTRO,"098-8788506,8788716,8788502",contactenos@baraya-huila.gov.co,http://www.baraya-huila.gov.co/,MILTON EDUARDO PINEDA MORALES,6
217952079,800099061:7,Barbacoas,BARBACOAS,DEPARTAMENTO DE NARIÑO,BARBACOAS NARIÑO,092-468438,alcaldia@barbacoas-narino.gov.co,http://www.barbacoas-narino.gov.co/,ADAMS BAY RINCON MENESES,6
217905079,890980445:7,Barbosa - Antioquia,BARBOSA (ANTIOQUIA),DEPARTAMENTO DE ANTIOQUIA,CALLE 15 14 48 PAR PRINCIPAL,"094-4061453,4060053,4063041",alcaldia@barbosa.gov.co,http://www.barbosa.gov.co,EDGAR AUGUSTO GALLEGO ARIAS,4
217768077,890206033:8,Barbosa - Santander,BARBOSA (SANTANDER),DEPARTAMENTO DE SANTANDER,CARRERAA. 9 NO. 7-15,"097-7486143,7485282,7486150",tesoreria@barbosa-santander.gov.co,http://www.barbosa-santander.gov.co/,VICTOR MANUEL CAMACHO CAMARGO,6
217968079,890210932:1,Barichara,BARICHARA,DEPARTAMENTO DE SANTANDER,Calle 5  6 - 39,"097-7267052,7267122",alcaldia@barichara-santander.gov.co,http://www.barichara-santander.gov.co,ALFONSO RODRIGUEZ PATIÑO,6
211050110,800152577:1,Barranca de Upía,BARRANCA DE UPIA,DEPARTAMENTO DEL META,CALLE 11 2 15,"098-6241051,6241111,6241010",alcaldia@barrancadeupia-meta.gov.co,http://www.barrancadeupia-meta.gov.co,ISABEL BETANCOURT ALVAREZ,6
218168081,890201900:6,Barrancabermeja,BARRANCABERMEJA,DEPARTAMENTO DE SANTANDER,CARRERA 5 50 43 SECTOR COMERCIAL,097-6115555,contactenos@barrancabermeja.gov.co,http://www.barrancabermeja.gov.co,ALFONSO ELJACH MANRIQUE,1
217844078,800099223:3,Barrancas,BARRANCAS,DEPARTAMENTO DE GUAJIRA,CALLE 9 NO. 7-18,"095-5748227,7748105,7748108",alcaldia@barrancas-laguajira.gov.co,http://www.barrancas-laguajira.gov.co/,IVAN MAURICIO SOTO BALAN,6
217413074,800015991:1,Barranco de Loba,BARRANCO DE LOBA,DEPARTAMENTO DE BOLIVAR,Plaza principal municipal,095-4290816,controlinterno@barracodeloba-bolivar.gov.co,http://www.barrancodeloba-bolivar.gov.co,MANUEL ESTEBAN RAMOS BAYTER,6
923272927,901362662:7,Barrancominas,BARRANCO MINAS,DEPARTAMENTO DE GUAINIA,Cabecera Municipal del Municipio de Barrancominas,320-2670704,alcaldiabarrancominas@gmail.com,http://,NORELA RODRIGUEZ SANDOVAL,No tiene Categoría
210108001,890102018:1,"Barranquilla, Distrito Especial, Industrial y Portuario","BARRANQUILLA - DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO",DEPARTAMENTO DE ATLANTICO,CALLE 34 NO 43-31,095-3399107,dtorres@barranquilla.gov.co,http://www.barranquilla.gov.co,JAIME ALBERTO PUMAREJO HEINS,ESP
214520045,800096576:4,Becerril,BECERRIL,DEPARTAMENTO DE CESAR,CALLE 10 NO.6-84,095-5768007,alcaldia@becerril-cesar.gov.co,http://www.becerril-cesar.gov.co,CARLOS ALBERTO TAMARA AMARIS,6
218817088,890802650:9,Belalcázar,BELALCAZAR,DEPARTAMENTO DE CALDAS,CALLE 15 NO 4 17 PLAZA PRINCIPAL,096-8604011,alcaldia@belalcazar-caldas.gov.co,http://www.belalcazar.caldas.gov.co,GLORIA CARMENZA OSPINA MONTES,6
218715087,800099199:4,Belén - Boyacá,BELEN (BOYACA),DEPARTAMENTO DE BOYACA,CARRERA 6 NO 6-22,"098-870020,7870581,7870020",alcaldia@belen-boyaca.gov.co,http://www.belen-boyaca.gov.co,OSCAR EDUARDO BOADA CASTRO,6
218352083,800035482:1,Belén - Nariño,BELEN (NARIÑO),DEPARTAMENTO DE NARIÑO,CARRERAA 2 CALLE 5 ESQUINA,092-7440783,alcaldia@belen-narino.gov.co,http://www.belen-narino.gov.co,ROQUE ORTEGA DELGADO,6
219418094,800095734:7,Belén de los Andaquíes,BELEN DE LOS ANDAQUIES,DEPARTAMENTO DE CAQUETA,Calle 5a  4 - 42,078-4316202,alcaldia@belendelosandaquies-caqueta.gov.co,http://belendelosandaquies-caqueta.gov.co,MAGNO TOMAS ROSERO BARRERA,6
218866088,891480024:8,Belén de Umbría,BELEN DE UMBRIA,DEPARTAMENTO DE RISARALDA,CARRERA 9 CALLE 10 PARQUE LOS FUNDADORES,096-3528733,alcaldia@belendeumbria-risaralda.gov.co,http://www.belendeumbria-risaralda.gov.co,JESUS ANTONIO BERMUDEZ GALLEGO,6
218805088,890980112:1,Bello,BELLO,DEPARTAMENTO DE ANTIOQUIA,Carrera  50     51 - 00,"094-4521000,6047944",retencionbello@gmail.com,http://www.bello.gov.co,OSCAR ANDRES PEREZ MUÑOZ,1
218605086,890981880:2,Belmira,BELMIRA,DEPARTAMENTO DE ANTIOQUIA,BELMIRA,"094-8674030,8674159",alcaldia@belmira-antioquia.gov.co,http://www.belmira-antioquia.gov.co,JORGE IGNACIO LONDOÑO LONDOÑO,6
218625086,800094624:0,Beltrán,BELTRAN,DEPARTAMENTO DE CUNDINAMARCA,CARRERAA. 4 # 3 - 07,"091-2852014,6285008,8465333",tesoreria@beltran-cundinamarca.gov.co,http://www.beltran-cundinamarca.gov.co,JULIO CESAR GUZMAN OSPINA,6
219015090,800099390:5,Berbeo,BERBEO,DEPARTAMENTO DE BOYACA,CARRERA 3  N  5 - 23,098-7404488,sechacienda@berbeo-boyaca.gov.cp,http://www.berbeo-boyaca.gov.co/,DANIEL LOPEZ VALLEJO,6
